"subject","total","days","grade","sheet_n","date","student"
"cp",5,12,0.416666666666667,1,2022-12-01,"670"
"directive",6,12,0.5,1,2022-12-01,"670"
"art",3,12,0.25,1,2022-12-01,"670"
"activity",1,10,0.1,1,2022-12-01,"670"
"spelling",1,10,0.1,1,2022-12-01,"670"
"math",3,10,0.3,1,2022-12-01,"670"
"reading",1.5,10,0.15,1,2022-12-01,"670"
"books",0,10,0,1,2022-12-01,"670"
"resets",0,10,0,1,2022-12-01,"670"
"cp",4,10,0.4,1,2022-12-01,"508"
"directive",6,12,0.5,1,2022-12-01,"508"
"art",6,12,0.5,1,2022-12-01,"508"
"pre-k",32,12,2.66666666666667,1,2022-12-01,"508"
"resets",3,12,0.25,1,2022-12-01,"508"
"cp",8,10,0.8,1,2022-12-01,"539"
"readingpassedoff",1,10,0.1,1,2022-12-01,"539"
"math",8,10,0.8,1,2022-12-01,"539"
"la",5,10,0.5,1,2022-12-01,"539"
"spelling",7,10,0.7,1,2022-12-01,"539"
"phonics",6,10,0.6,1,2022-12-01,"539"
"writing",5,10,0.5,1,2022-12-01,"539"
"rc",4,10,0.4,1,2022-12-01,"539"
"resets",0,10,0,1,2022-12-01,"539"
"cp",7,12,0.583333333333333,1,2022-12-01,"872"
"directive",11,12,0.916666666666667,1,2022-12-01,"872"
"art",9,12,0.75,1,2022-12-01,"872"
"activity",9,12,0.75,1,2022-12-01,"872"
"math",4,12,0.333333333333333,1,2022-12-01,"872"
"la",10,12,0.833333333333333,1,2022-12-01,"872"
"spelling",7,12,0.583333333333333,1,2022-12-01,"872"
"phonics",10,12,0.833333333333333,1,2022-12-01,"872"
"vocab",7,12,0.583333333333333,1,2022-12-01,"872"
"writing",6,12,0.5,1,2022-12-01,"872"
"reading",5,12,0.416666666666667,1,2022-12-01,"872"
"cp",3,12,0.25,1,2022-12-01,"776"
"directive",8,12,0.666666666666667,1,2022-12-01,"776"
"art",8,12,0.666666666666667,1,2022-12-01,"776"
"activity",7,12,0.583333333333333,1,2022-12-01,"776"
"math",12,10,1.2,1,2022-12-01,"776"
"la",6,10,0.6,1,2022-12-01,"776"
"spelling",5,10,0.5,1,2022-12-01,"776"
"phonics",3,10,0.3,1,2022-12-01,"776"
"reading",4,10,0.4,1,2022-12-01,"776"
"resets",1,12,0.0833333333333333,1,2022-12-01,"776"
"cp",2,12,0.166666666666667,1,2022-12-01,"420"
"directive",2,12,0.166666666666667,1,2022-12-01,"420"
"art",2,12,0.166666666666667,1,2022-12-01,"420"
"math",0,12,0,1,2022-12-01,"420"
"spelling",0,12,0,1,2022-12-01,"420"
"la",0,12,0,1,2022-12-01,"420"
"phonics",NA,NA,NA,1,2022-12-01,"420"
"writing",0,12,0,1,2022-12-01,"420"
"resets",0,12,0,1,2022-12-01,"420"
"cp",10,10,1,1,2022-12-01,"259"
"math",8,8,1,1,2022-12-01,"259"
"spelling",6,8,0.75,1,2022-12-01,"259"
"maps",0,8,0,1,2022-12-01,"259"
"countingmoney",9,8,1.125,1,2022-12-01,"259"
"money,fr,time",7,8,0.875,1,2022-12-01,"259"
"cp",11,12,0.916666666666667,1,2022-12-01,"350"
"directive",11,12,0.916666666666667,1,2022-12-01,"350"
"art",12,12,1,1,2022-12-01,"350"
"activity",11,12,0.916666666666667,1,2022-12-01,"350"
"math",9,10,0.9,1,2022-12-01,"350"
"spelling",11,10,1.1,1,2022-12-01,"350"
"phonics",13,10,1.3,1,2022-12-01,"350"
"vocab",10,10,1,1,2022-12-01,"350"
"reading",5,10,0.5,1,2022-12-01,"350"
"la",9,10,0.9,1,2022-12-01,"350"
"resets",0,10,0,1,2022-12-01,"350"
"cp",6,12,0.5,1,2022-12-01,"66"
"math",4,10,0.4,1,2022-12-01,"66"
"reading",3,10,0.3,1,2022-12-01,"66"
"la",1,10,0.1,1,2022-12-01,"66"
"spelling",9,10,0.9,1,2022-12-01,"66"
"phonics",7,10,0.7,1,2022-12-01,"66"
"geography",1,10,0.1,1,2022-12-01,"66"
"vocab",8,10,0.8,1,2022-12-01,"66"
"cp",11,12,0.916666666666667,1,2022-12-01,"722"
"math",10,10,1,1,2022-12-01,"722"
"handwriting",8,10,0.8,1,2022-12-01,"722"
"time",10,10,1,1,2022-12-01,"722"
"money",10,10,1,1,2022-12-01,"722"
"books",1,10,0.1,1,2022-12-01,"722"
"languagearts",0,10,0,1,2022-12-01,"722"
"spelling",0,10,0,1,2022-12-01,"722"
"cp",7,12,0.583333333333333,1,2022-12-01,"626"
"directive",9,12,0.75,1,2022-12-01,"626"
"activity",9,12,0.75,1,2022-12-01,"626"
"spelling",8,10,0.8,1,2022-12-01,"626"
"phonics",9,10,0.9,1,2022-12-01,"626"
"readingpassedoff",3,10,0.3,1,2022-12-01,"626"
"resets",2,10,0.2,1,2022-12-01,"626"
"cp",8,12,0.666666666666667,1,2022-12-01,"849"
"directive",9,12,0.75,1,2022-12-01,"849"
"art",9,12,0.75,1,2022-12-01,"849"
"activity",9,12,0.75,1,2022-12-01,"849"
"math",4,9,0.444444444444444,1,2022-12-01,"849"
"hw",5,9,0.555555555555556,1,2022-12-01,"849"
"grammar",6,9,0.666666666666667,1,2022-12-01,"849"
"readingpassedoff",4,9,0.444444444444444,1,2022-12-01,"849"
"resets",1,9,0.111111111111111,1,2022-12-01,"849"
"cp",2,12,0.166666666666667,1,2022-12-01,"484"
"directive",1,12,0.0833333333333333,1,2022-12-01,"484"
"art",0,12,0,1,2022-12-01,"484"
"readingpassedoff",0,12,0,1,2022-12-01,"484"
"resets",8,12,0.666666666666667,1,2022-12-01,"484"
"cp",10,12,0.833333333333333,1,2022-12-01,"651"
"directive",8,12,0.666666666666667,1,2022-12-01,"651"
"art",8,12,0.666666666666667,1,2022-12-01,"651"
"writing",10,10,1,1,2022-12-01,"651"
"reading",11,10,1.1,1,2022-12-01,"651"
"la",8,10,0.8,1,2022-12-01,"651"
"math",9,10,0.9,1,2022-12-01,"651"
"science",8,10,0.8,1,2022-12-01,"651"
"geography",14,10,1.4,1,2022-12-01,"651"
"cp",7,12,0.583333333333333,1,2022-12-01,"948"
"reset",0,12,0,1,2022-12-01,"948"
"math",14,10,1.4,1,2022-12-01,"948"
"grammar",10,10,1,1,2022-12-01,"948"
"writing",4,10,0.4,1,2022-12-01,"948"
"readingcomp",5,10,0.5,1,2022-12-01,"948"
"phonics",11,10,1.1,1,2022-12-01,"948"
"spelling",10,10,1,1,2022-12-01,"948"
"languagearts",5,10,0.5,1,2022-12-01,"948"
"math",9,10,0.9,1,2022-12-01,"430"
"la",8,10,0.8,1,2022-12-01,"430"
"writing",8,10,0.8,1,2022-12-01,"430"
"rc",6,10,0.6,1,2022-12-01,"430"
"phonics",8,10,0.8,1,2022-12-01,"430"
"spelling",5,10,0.5,1,2022-12-01,"430"
"vocab",8,10,0.8,1,2022-12-01,"430"
"cp",6,12,0.5,1,2022-12-01,"616"
"directive",11,12,0.916666666666667,1,2022-12-01,"616"
"art",8,12,0.666666666666667,1,2022-12-01,"616"
"activity",6,12,0.5,1,2022-12-01,"616"
"math",8,10,0.8,1,2022-12-01,"616"
"vocab",3,10,0.3,1,2022-12-01,"616"
"la",7,10,0.7,1,2022-12-01,"616"
"resets",0,10,0,1,2022-12-01,"616"
"cp",9,9,1,1,2022-12-01,"531"
"directive",9,9,1,1,2022-12-01,"531"
"art",9,9,1,1,2022-12-01,"531"
"activity",8,9,0.888888888888889,1,2022-12-01,"531"
"math",8.5,10,0.85,1,2022-12-01,"531"
